symbol,shares_outstanding
HMAAGRO,500769770
HNDFDS,121309002
HOMEFIRST,104563142
HONASA,326024216
HONAUT,8847359
HONDAPOWER,10143071
HORIZONIND,2882902834
HPAL,91874735
HPIL,11424110
HPL,64300486
HRYNSHP,6166667
HSCL,504574175
HTEL,94852594
HTMEDIA,231320042
HUBTOWN,142100657
HUDCO,2001900000
HUHTAMAKI,75521934
HYUNDAI,812541100
IBULLSLTD,2241202216
ICEMAKE,15779736
ICICIAMC,494258520
ICICIBANK,7177767388
ICICIGI,499608275
ICICIPRULI,1450782117
ICIL,198054340
ICRA,9625105
IDBI,10752402175
IDEA,108343035001
IDEAFORGE,49708506
IDFCFIRSTB,8622196236
IEX,889727189
IFBAGRO,9367111
IFBIND,40518796
IFCI,2694314331
IFGLEXPOR,72078624
IGARASHI,31475048
IGCL,63223997
IGIL,432159696
IGL,1400001600
IGPL,30794850
IIFL,425289575
IIFLCAPS,315178863
IITL,20924728
IKIO,77280701
IKS,167757449
IMAGICAA,565873947
IMFA,53954106
IMPAL,12480000
INA,220449375
INCREDIBLE,46763750
INDBANK,44378200
INDGN,240807964
INDHOTEL,1446605715
INDIACEM,464845219
INDIAGLYCO,67026765
INDIAMART,601426988
INDIANB,1346963981
INDIANCARD,5941120
INDIANHUME,52681770
INDIASHLTR,109167317
INDIGO,386666597
INDIGOPNTS,47732637
INDIQUBE,211997635
INDNIPPON,22621424
INDOBORAX,32090000
INDOCO,92173705
INDOFARM,48051600
INDOKEM,27888255
INDOMIM,494480907
INDORAMA,261113151
INDOSTAR,161670107
INDOTECH,10620000
INDOTHAI,128618190
INDOUS,20052000
INDOWIND,161002170
INDRAMEDCO,91673000
INDSWFTLAB,86961558
INDTERRAIN,50667367
INDUSINDBK,779144712
INDUSTOWER,2637202542
INFOBEAN,96959440
INFOMEDIA,50194172
INFY,4050343559
INGERRAND,31568000
INNOVACAP,57224929
INNOVANA,20660000
INNOVISION,23813294
INOXGREEN,401492045
INOXINDIA,90922459
INOXWIND,1728237822
INSECTICID,29097837
INSPIRISYS,39616873
INTELLECT,139520898
INTENTECH,23356353
INTERARCH,16817032
INTLCONV,63781000
INVENTURE,1050000000
IOB,19256589795
IOC,14121238383
IOLCP,293527510
IONEXCHANG,122930450
IPCALAB,253704218
IPL,115163508
IPRINGLTD,12675865
IRB,12078000000
IRCON,940515740
IRCTC,800000000
IREDA,2809231268
IRFC,13068506000
IRIS,20568247
IRISDOREME,190331470
IRMENERGY,41059677
ISFT,16311678
ISGEC,73529510
ISHANCH,27327529
ISTLTD,11664112
ITC,12530517081
ITCHOTELS,2083005769
ITDC,85769400
