symbol,series,isin,name
AFIL,EQ,INE916Y01027,AKME FINTRADE (INDIA) LTD
AFSL,EQ,INE00ZE01026,ABANS FINANCIAL SRVCS LTD
AGARIND,EQ,INE204E01012,AGARWAL INDS CORP LTD.
AGARWALEYE,EQ,INE943P01029,DR AGARWALS HEALTH CARE L
AGI,EQ,INE415A01038,AGI GREENPAC LIMITED
AGIIL,EQ,INE976R01033,AGI INFRA LIMITED
AGL,EQ,INE1YPB01014,ALLCARGO GLOBAL LIMITED
AGRITECH,EQ,INE449G01018,AGRI-TECH (INDIA) LIMITED
AGROPHOS,EQ,INE740V01019,AGRO PHOS INDIA LIMITED
AHCL,EQ,INE0Y8W01025,ANLON HEALTHCARE LIMITED
AHLADA,EQ,INE00PV01013,AHLADA ENGINEERS LIMITED
AHLEAST,EQ,INE926K01017,ASIAN HOTELS (EAST) LTD
AHLUCONT,EQ,INE758C01029,AHLUWALIA CONT IND LTD
AIAENG,EQ,INE212H01026,AIA ENGINEERING LIMITED
AIIL,EQ,INE206F01022,AUTHUM INVEST & INFRA LTD
AIRAN,EQ,INE645W01026,AIRAN LIMITED
AIROLAM,EQ,INE801L01010,AIRO LAM LIMITED
AJANTPHARM,EQ,INE031B01049,AJANTA PHARMA LIMITED
AJAXENGG,EQ,INE274Y01021,AJAX ENGINEERING LIMITED
AJMERA,EQ,INE298G01035,AJMERA REALTY & INF I LTD
AJOONI,EQ,INE820Y01021,AJOONI BIOTECH LIMITED
AKASH,EQ,INE737W01013,AKASH INFRA-PROJECTS LTD
AKCAPIT,EQ,INE701G01012,A K CAPITAL SERVICES LTD.
AKG,EQ,INE00Y801016,AKG EXIM LIMITED
AKSHAR,EQ,INE256Z01025,AKSHAR SPINTEX LIMITED
AKUMS,EQ,INE09XN01023,AKUMS DRUGS AND PHARMA L
ALANKIT,EQ,INE914E01040,ALANKIT LIMITED
ALBERTDAVD,EQ,INE155C01010,ALBERT DAVID LIMITED
ALEMBICLTD,EQ,INE426A01027,ALEMBIC LIMITED
ALFREDHE,EQ,INE782D01027,ALFRED HERBERT INDIA L
ALGOQUANT,EQ,INE598D01035,ALGOQUANT FINTECH LIMITED
ALICON,EQ,INE062D01024,ALICON CASTALLOY LIMITED
ALIVUS,EQ,INE03Q201024,ALIVUS LIFE SCIENCES LTD
ALKALI,EQ,INE773I01017,ALKALI METALS LTD
ALKEM,EQ,INE540L01014,ALKEM LABORATORIES LTD.
ALKYLAMINE,EQ,INE150B01039,ALKYL AMINES CHEM. LTD
ALLCARGO,EQ,INE418H01029,ALLCARGO LOGISTICS LTD
ALLDIGI,EQ,INE835G01018,ALLDIGI TECH LIMITED
ALLTIME,EQ,INE0GV601021,ALL TIME PLASTICS LIMITED
ALMONDZ,EQ,INE326B01035,ALMONDZ GLOBAL SEC LTD
ALOKINDS,EQ,INE270A01029,ALOK INDUSTRIES LIMITED
ALPA,EQ,INE385I01010,ALPA LABORATORIES LTD
ALPHA,EQ,INF174KA1IA5,KOTAKMAMC - KOTAKALPHA
ALPHAETF,EQ,INF769K01KU7,MIRAEAMC - ALPHAETF
ALPINETEX,EQ,INE1JCQ01037,ALPINE TEXWORLD LIMITED
ALPL30IETF,EQ,INF109KC17V7,ICICIPRAMC - ICICIALPLV
ALUFLUOR,EQ,INE058F01019,ALUFLUORIDE LTD.
AMAGI,EQ,INE121R01077,AMAGI MEDIA LABS LIMITED
AMAL,EQ,INE841D01013,AMAL LTD.
AMARJOTHI,EQ,INE484D01012,AMARJOTHI SPINNING MILL L
